Names,Locations,Prices/Mon
2 otaqlı80 m²4/10 mərtəbə,Nəriman Nərimanov m.,400AZN/ay
1 otaqlı33 m²2/5 mərtəbə,Yasamal r.,400AZN/ay
3 otaqlı96 m²18/20 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı160 m²5/16 mərtəbə,Şah İsmayıl Xətai m.,1 100AZN/ay
3 otaqlı153 m²7/16 mərtəbə,Badamdar q.,1 160AZN/ay
2 otaqlı70 m²10/16 mərtəbə,8 Noyabr m.,800AZN/ay
11 otaqlı360 m²,Novxanı q.,1 000AZN/ay
3 otaqlı70 m²8/12 mərtəbə,İnşaatçılar m.,450AZN/ay
2 otaqlı80 m²15/21 mərtəbə,Şah İsmayıl Xətai m.,1 200AZN/ay
4 otaqlı140 m²9/21 mərtəbə,28 May m.,1 150AZN/ay
2 otaqlı80 m²10/21 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
2 otaqlı86 m²18/21 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
2 otaqlı100 m²7/18 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı120 m²3/14 mərtəbə,İçəri Şəhər m.,800AZN/ay
2 otaqlı92 m²15/20 mərtəbə,Həzi Aslanov q.,500AZN/ay
2 otaqlı78 m²4/4 mərtəbə,Sahil m.,1 000AZN/ay
3 otaqlı100 m²1/9 mərtəbə,Həzi Aslanov m.,380AZN/ay
4 otaqlı210 m²7/18 mərtəbə,Nərimanov r.,900AZN/ay
2 otaqlı45 m²2/5 mərtəbə,Memar Əcəmi m.,370AZN/ay
3 otaqlı150 m²9/18 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
1 otaqlı30 m²5/5 mərtəbə,Memar Əcəmi m.,320AZN/ay
1 otaqlı20 m²,Binəqədi q.,130AZN/ay
3 otaqlı182 m²12/32 mərtəbə,Şah İsmayıl Xətai m.,1 600AZN/ay
160 m²,Gənclik m.,4 500AZN/ay
3 otaqlı130 m²16/17 mərtəbə,Nərimanov r.,850AZN/ay
2 otaqlı40 m²,Xırdalan,300AZN/ay
3 otaqlı100 m²3/6 mərtəbə,İçəri Şəhər m.,1 000AZN/ay
5 otaqlı200 m²9/10 mərtəbə,Elmlər Akademiyası m.,900AZN/ay
4 otaqlı250 m²15/28 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
5 otaqlı500 m²16/16 mərtəbə,Elmlər Akademiyası m.,3 000AZN/ay
3 otaqlı80 m²5/5 mərtəbə,Elmlər Akademiyası m.,500AZN/ay
4 otaqlı160 m²15/17 mərtəbə,Həzi Aslanov m.,1 000AZN/ay
3 otaqlı60 m²5/5 mərtəbə,Nəsimi r.,600AZN/ay
2 otaqlı50 m²,M.Ə.Rəsulzadə q.,250AZN/ay
2 otaqlı120 m²6/16 mərtəbə,Qara Qarayev m.,600AZN/ay
