,Locations,Prices,Floor,Area,Rooms,Rent
374,28 May m.,60000,,70 ,,1.0
375,Qusar,70,,150 ,3 ,1.0
376,Binəqədi r.,15000,13/16 ,60 ,2 ,1.0
377,Azadlıq Prospekti m.,12000,7/17 ,68 ,2 ,1.0
378,Sahil m.,48000,,210 ,5 ,1.0
379,Nizami m.,2400,3/3 ,33 ,1 ,1.0
380,Sahil m.,75000,1/3 ,70 ,2 ,1.0
381,28 May m.,45000,14/21 ,220 ,4 ,1.0
382,Şah İsmayıl Xətai m.,29970,10/18 ,70 ,2 ,1.0
383,28 May m.,30000,12/22 ,176 ,3 ,1.0
384,28 May m.,45000,11/16 ,150 ,3 ,1.0
385,Memar Əcəmi m.,12900,17/18 ,92 ,2 ,1.0
386,Səbail r.,27000,4/5 ,120 ,4 ,1.0
387,Nəsimi r.,255000,,164 ,,1.0
388,Sabunçu r.,255000,,830 ,,1.0
389,Yasamal q.,36000,7/20 ,100 ,3 ,1.0
390,Mərdəkan q.,16500,3/5 ,55 ,3 ,1.0
391,Nəsimi r.,105000,,145 ,,1.0
392,Sahil m.,150000,2/3 ,280 ,5 ,1.0
393,Elmlər Akademiyası m.,27000,4/16 ,175 ,3 ,1.0
394,Elmlər Akademiyası m.,25500,4/16 ,65 ,2 ,1.0
395,Sahil m.,46500,2/4 ,120 ,4 ,1.0
396,İçəri Şəhər m.,99000,,380 ,,1.0
397,Nəsimi r.,10500,2/5 ,50 ,2 ,1.0
398,Nizami m.,15000,3/4 ,50 ,2 ,1.0
399,Nizami m.,30000,7/10 ,172 ,3 ,1.0
400,Şah İsmayıl Xətai m.,25500,6/17 ,98 ,2 ,1.0
401,Nərimanov r.,18000,5/5 ,78 ,3 ,1.0
402,Nəsimi r.,12000,1/2 ,40 ,2 ,1.0
403,Gənclik m.,18000,5/5 ,120 ,4 ,1.0
404,Şah İsmayıl Xətai m.,30000,,140 ,3 ,1.0
405,Bakıxanov q.,3000,5/9 ,60 ,2 ,1.0
406,Nəriman Nərimanov m.,18000,2/4 ,65 ,2 ,1.0
407,Nəsimi r.,24000,6/17 ,200 ,4 ,1.0
408,Nizami m.,15000,,45 ,,1.0
409,Şah İsmayıl Xətai m.,42000,11/19 ,100 ,2 ,1.0
410,Nəsimi r.,75000,4/16 ,230 ,4 ,1.0
411,Şah İsmayıl Xətai m.,45000,7/20 ,175 ,4 ,1.0
412,28 May m.,13500,5/5 ,45 ,1 ,1.0
413,Şah İsmayıl Xətai m.,22500,12/17 ,145 ,3 ,1.0
414,Yasamal r.,36000,27/27 ,102.3 ,2 ,1.0
415,Şah İsmayıl Xətai m.,21000,17/18 ,100 ,3 ,1.0
416,Sahil m.,35,4/10 ,100 ,2 ,1.0
417,Qara Qarayev m.,16500,5/16 ,60 ,2 ,1.0
418,28 May m.,27000,10/10 ,120 ,3 ,1.0
419,Nizami m.,90000,,300 ,,1.0
420,Elmlər Akademiyası m.,13500,5/5 ,70 ,3 ,1.0
421,Nərimanov r.,18000,5/18 ,70 ,2 ,1.0
422,Elmlər Akademiyası m.,27000,9/10 ,200 ,5 ,1.0
423,İnşaatçılar m.,19500,15/16 ,80 ,3 ,1.0
424,Nəsimi r.,40,12/19 ,95 ,2 ,1.0
425,Nəsimi r.,50,16/17 ,180 ,3 ,1.0
426,Yasamal q.,13500,3/12 ,66 ,2 ,1.0
427,Nəsimi r.,37500,25/27 ,120 ,3 ,1.0
428,Azadlıq Prospekti m.,19500,8/17 ,163 ,3 ,1.0
429,İnşaatçılar m.,15000,20/24 ,90 ,2 ,1.0
430,Nərimanov r.,51000,2/14 ,200 ,4 ,1.0
431,Nəsimi r.,19500,22/22 ,70 ,2 ,1.0
432,Nizami m.,51000,14/16 ,140 ,3 ,1.0
433,28 May m.,30000,8/10 ,112 ,3 ,1.0
434,Nəsimi r.,12000,3/4 ,65 ,2 ,1.0
435,Nəriman Nərimanov m.,22500,,30 ,,1.0
436,28 May m.,24000,3/9 ,110 ,3 ,1.0
437,Elmlər Akademiyası m.,30000,7/10 ,150 ,3 ,1.0
438,Səbail r.,21000,4/16 ,70 ,2 ,1.0
439,Həzi Aslanov m.,11400,16/17 ,65 ,2 ,1.0
440,Nizami m.,40800,8/18 ,130 ,3 ,1.0
441,28 May m.,21000,4/16 ,110 ,3 ,1.0
442,28 May m.,30000,10/10 ,90 ,3 ,1.0
443,İnşaatçılar m.,15000,11/16 ,60 ,2 ,1.0
444,Nəsimi r.,36000,27/27 ,100 ,2 ,1.0
